Start Lng,Start Lat,End Lng,End Lat
-103.01600362367043,48.01213888663809,-102.88090051588382,48.01372343146174
-103.01286707747339,48.01768039401738,-102.89956442805659,48.01965256419249
-103.01819870880455,48.013740111341164,-102.88851793496706,48.0178339015958
-103.01826910486406,48.0131020202399,-102.88349074992635,48.018051262582325
-103.01954338314376,48.01843427597981,-102.87992913970315,48.016311517334664
-103.00748056577562,48.0129752307524,-102.88128180404574,48.0151453358321
-103.0177644460165,48.01334160122271,-102.88541995971143,48.013731781385474
-103.0174318662062,48.01286620002703,-102.88466174674103,48.01690109131353
-103.01829658046788,48.01115081823263,-102.8986228068244,48.011998793562384
-103.01713930303866,48.01280540926165,-102.89468590994024,48.01392091903496
-103.01608250830658,48.017023174519935,-102.89410171520038,48.01650223976884
-103.00769326070353,48.01236831007718,-102.88595101389346,48.01206583353992
-103.00989371809777,48.016472250293205,-102.89963449365922,48.01824761563145
-103.01842487169752,48.01713063346436,-102.89749297850709,48.018308610312765
-103.00743576453628,48.014695084843616,-102.88541227824436,48.01543579554461
