Start Lng,Start Lat,End Lng,End Lat
-103.01094438529233,48.01559858086991,-102.89405953606442,48.01356295662717
-103.01929353625606,48.017779895561176,-102.89543184982237,48.014477431417205
-103.01623314235984,48.011303633535306,-102.89375913522326,48.016607108678706
-103.01817419237072,48.01018218431397,-102.89147629116269,48.014723189449086
-103.01801026411326,48.012864425176424,-102.89113205648162,48.019575522169646
-103.0071744762845,48.01204548843917,-102.8980953946291,48.01490215345865
-103.00696568809639,48.01410101645444,-102.88481950808637,48.0150550417267
-103.01950844032618,48.01624411886888,-102.87953833913807,48.019012978735894
-103.00836227507486,48.01737923539946,-102.88778070135587,48.01411714560566
-103.01008729408147,48.01741210772569,-102.8803379227427,48.01261115712278
